precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DonaldJTrump,DonaldJTrump_AbsenteebyMail,DonaldJTrump_AdvanceinPerson,DonaldJTrump_ElectionDay,DonaldJTrump_Provisional,GaryJohnson,GaryJohnson_AbsenteebyMail,GaryJohnson_AdvanceinPerson,GaryJohnson_ElectionDay,GaryJohnson_Provisional,HillaryClinton,HillaryClinton_AbsenteebyMail,HillaryClinton_AdvanceinPerson,HillaryClinton_ElectionDay,HillaryClinton_Provisional,LIB,LIB_AbsenteebyMail,LIB_AdvanceinPerson,LIB_ElectionDay,LIB_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
Cooper 01,2010,74,1054,872,10,627,58,282,285,2,75,2,27,45,1,2010,74,1054,872,10,75,2,27,45,1,627,58,282,285,2
Chestnut Ridge 01,812,75,292,445,0,1412,136,419,856,1,110,14,22,74,0,812,75,292,445,0,110,14,22,74,0,1412,136,419,856,1
Dickerson 01,823,101,256,466,0,1148,107,324,716,1,103,8,12,83,0,823,101,256,466,0,103,8,12,83,0,1148,107,324,716,1
Dobbins 01,1659,82,758,804,15,402,30,160,210,2,84,6,30,46,2,1659,82,758,804,15,84,6,30,46,2,402,30,160,210,2
Dowell 01,976,52,529,393,2,1060,60,503,497,0,118,9,41,68,0,976,52,529,393,2,118,9,41,68,0,1060,60,503,497,0
Dodgen 01,554,58,181,315,0,931,71,295,563,2,65,11,13,41,0,554,58,181,315,0,65,11,13,41,0,931,71,295,563,2
Durham 01,720,55,296,368,1,2057,135,827,1094,1,103,6,19,77,1,720,55,296,368,1,103,6,19,77,1,2057,135,827,1094,1
Davis 01,502,35,178,289,0,805,60,238,505,2,73,5,16,52,0,502,35,178,289,0,73,5,16,52,0,805,60,238,505,2
Eastside 01,835,83,281,470,1,1232,111,373,747,1,95,6,16,73,0,835,83,281,470,1,95,6,16,73,0,1232,111,373,747,1
Eastside 02,1117,83,480,554,0,1652,141,619,891,1,152,12,36,104,0,1117,83,480,554,0,152,12,36,104,0,1652,141,619,891,1
Elizabeth 01,1245,46,537,659,3,690,31,299,355,5,81,2,18,60,1,1245,46,537,659,3,81,2,18,60,1,690,31,299,355,5
Elizabeth 02,617,52,254,311,0,964,95,383,483,3,68,8,21,39,0,617,52,254,311,0,68,8,21,39,0,964,95,383,483,3
Elizabeth 03,724,47,335,342,0,1139,124,454,560,1,91,5,15,71,0,724,47,335,342,0,91,5,15,71,0,1139,124,454,560,1
Elizabeth 04,931,55,351,523,2,710,46,253,410,1,101,10,20,71,0,931,55,351,523,2,101,10,20,71,0,710,46,253,410,1
Elizabeth 05,861,69,342,449,1,1075,88,339,644,4,119,13,22,84,0,861,69,342,449,1,119,13,22,84,0,1075,88,339,644,4
East Piedmont 01,737,34,327,373,3,696,36,246,413,1,70,2,17,51,0,737,34,327,373,3,70,2,17,51,0,696,36,246,413,1
Fair Oaks 01,1570,62,797,707,4,604,61,268,274,1,74,4,26,44,0,1570,62,797,707,4,74,4,26,44,0,604,61,268,274,1
Fair Oaks 02,1625,66,645,909,5,588,46,238,304,0,56,3,15,37,1,1625,66,645,909,5,56,3,15,37,1,588,46,238,304,0
Fair Oaks 04,742,42,257,440,3,438,51,155,230,2,38,2,5,31,0,742,42,257,440,3,38,2,5,31,0,438,51,155,230,2
Fair Oaks 05,548,46,188,310,4,298,20,107,170,1,29,1,12,16,0,548,46,188,310,4,29,1,12,16,0,298,20,107,170,1
Fullers Park 01,986,73,376,533,4,1281,128,442,705,6,135,7,28,99,1,986,73,376,533,4,135,7,28,99,1,1281,128,442,705,6
Ford 01,559,52,251,255,1,1563,89,628,846,0,82,6,19,57,0,559,52,251,255,1,82,6,19,57,0,1563,89,628,846,0
Frey 01,516,28,203,283,2,1115,85,435,595,0,73,6,12,53,2,516,28,203,283,2,73,6,12,53,2,1115,85,435,595,0
Garrison Mill 01,761,53,288,419,1,1119,83,363,673,0,90,9,14,67,0,761,53,288,419,1,90,9,14,67,0,1119,83,363,673,0
Gritters 01,962,49,404,507,2,1473,127,573,772,1,153,6,26,121,0,962,49,404,507,2,153,6,26,121,0,1473,127,573,772,1
Harmony Leland 01,2761,123,1664,968,6,647,57,342,248,0,81,3,31,47,0,2761,123,1664,968,6,81,3,31,47,0,647,57,342,248,0
