precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DonaldJTrump,DonaldJTrump_AbsenteebyMail,DonaldJTrump_AdvanceinPerson,DonaldJTrump_ElectionDay,DonaldJTrump_Provisional,GaryJohnson,GaryJohnson_AbsenteebyMail,GaryJohnson_AdvanceinPerson,GaryJohnson_ElectionDay,GaryJohnson_Provisional,HillaryClinton,HillaryClinton_AbsenteebyMail,HillaryClinton_AdvanceinPerson,HillaryClinton_ElectionDay,HillaryClinton_Provisional,LIB,LIB_AbsenteebyMail,LIB_AdvanceinPerson,LIB_ElectionDay,LIB_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
03H,384,33,191,160,0,9,0,5,4,0,12,0,7,5,0,384,33,191,160,0,12,0,7,5,0,9,0,5,4,0
03I,657,30,188,425,14,123,7,19,94,3,83,1,18,64,0,657,30,188,425,14,83,1,18,64,0,123,7,19,94,3
03L,204,4,54,146,0,10,0,2,8,0,2,0,1,1,0,204,4,54,146,0,2,0,1,1,0,10,0,2,8,0
03M,337,9,135,190,3,87,2,20,65,0,38,1,6,31,0,337,9,135,190,3,38,1,6,31,0,87,2,20,65,0
03N,881,20,291,552,18,35,1,12,22,0,27,0,6,20,1,881,20,291,552,18,27,0,6,20,1,35,1,12,22,0
03P1A,1592,45,824,710,13,243,8,117,118,0,116,0,50,65,1,1592,45,824,710,13,116,0,50,65,1,243,8,117,118,0
03P2,21,2,3,15,1,1,0,0,0,1,0,0,0,0,0,21,2,3,15,1,0,0,0,0,0,1,0,0,0,1
03S,338,12,156,166,4,7,1,0,6,0,6,0,1,5,0,338,12,156,166,4,6,0,1,5,0,7,1,0,6,0
03T,718,22,307,382,7,32,0,17,15,0,17,0,5,12,0,718,22,307,382,7,17,0,5,12,0,32,0,17,15,0
04A,493,17,218,258,0,11,1,2,8,0,12,0,3,9,0,493,17,218,258,0,12,0,3,9,0,11,1,2,8,0
04B,941,36,391,499,15,23,1,12,10,0,11,0,4,7,0,941,36,391,499,15,11,0,4,7,0,23,1,12,10,0
04C,64,0,33,31,0,0,0,0,0,0,0,0,0,0,0,64,0,33,31,0,0,0,0,0,0,0,0,0,0,0
04D,710,36,322,352,0,17,1,3,13,0,4,0,1,3,0,710,36,322,352,0,4,0,1,3,0,17,1,3,13,0
04F,853,32,349,472,0,77,2,32,43,0,28,0,6,22,0,853,32,349,472,0,28,0,6,22,0,77,2,32,43,0
04G,306,7,118,181,0,8,0,4,4,0,7,0,5,2,0,306,7,118,181,0,7,0,5,2,0,8,0,4,4,0
04I,504,50,278,174,2,52,9,25,18,0,19,1,8,10,0,504,50,278,174,2,19,1,8,10,0,52,9,25,18,0
04J,412,7,105,293,7,5,1,0,4,0,4,0,3,1,0,412,7,105,293,7,4,0,3,1,0,5,1,0,4,0
04K,1138,44,507,585,2,34,5,11,18,0,21,1,7,13,0,1138,44,507,585,2,21,1,7,13,0,34,5,11,18,0
04L,740,23,313,395,9,28,3,12,13,0,24,0,6,16,2,740,23,313,395,9,24,0,6,16,2,28,3,12,13,0
04M,319,6,88,225,0,8,2,2,4,0,3,0,1,2,0,319,6,88,225,0,3,0,1,2,0,8,2,2,4,0
04S,1119,37,481,598,3,23,2,13,8,0,15,0,5,10,0,1119,37,481,598,3,15,0,5,10,0,23,2,13,8,0
04T,540,9,229,302,0,9,0,3,6,0,6,0,1,5,0,540,9,229,302,0,6,0,1,5,0,9,0,3,6,0
04V,1201,42,463,694,2,20,1,7,12,0,17,0,5,12,0,1201,42,463,694,2,17,0,5,12,0,20,1,7,12,0
04W,705,14,110,530,51,9,0,0,8,1,10,2,3,5,0,705,14,110,530,51,10,2,3,5,0,9,0,0,8,1
04X1,923,28,443,445,7,28,0,13,15,0,20,0,11,8,1,923,28,443,445,7,20,0,11,8,1,28,0,13,15,0
04X2,318,9,174,133,2,8,0,3,5,0,11,0,7,4,0,318,9,174,133,2,11,0,7,4,0,8,0,3,5,0
