"","precinct","DEM","DEM_AbsenteebyMail","DEM_AdvanceinPerson","DEM_ElectionDay","DEM_Provisional","REP","REP_AbsenteebyMail","REP_AdvanceinPerson","REP_ElectionDay","REP_Provisional","RodneyStooksbury","RodneyStooksbury_AbsenteebyMail","RodneyStooksbury_AdvanceinPerson","RodneyStooksbury_ElectionDay","RodneyStooksbury_Provisional","TomPrice","TomPrice_AbsenteebyMail","TomPrice_AdvanceinPerson","TomPrice_ElectionDay","TomPrice_Provisional","ballotsCast","totalVoters","COUNTY","PRECINCTS","IDRV","DRV","BC_TV","IDRV_BC","IDRV_TV","DRV_BC","DRV_TV","DEM_IDRV","DEM_DRV","DEM_BC","DEM_TV","REP_IDRV","REP_DRV","REP_BC","REP_TV","DPW","RPW","IPW"
"36","Pope 01",668,41,262,365,0,1510,145,486,878,1,668,41,262,365,0,1510,145,486,878,1,2270,2711,"Cobb",1,2178,2178,83.732939874585,95.9471365638767,80.3393581704168,95.9471365638767,80.3393581704168,30.6703397612489,30.6703397612489,29.4273127753304,24.6403541128735,69.3296602387511,69.3296602387511,66.5198237885463,55.6990040575433,0,1,0
"37","Post Oak 01",677,41,275,361,0,1910,173,554,1182,1,677,41,275,361,0,1910,173,554,1182,1,2678,3181,"Cobb",1,2587,2587,84.1873624646338,96.6019417475728,81.3266268469035,96.6019417475728,81.3266268469035,26.1693080788558,26.1693080788558,25.2800597460792,21.2826155297076,73.8306919211442,73.8306919211442,71.3218820014936,60.0440113171959,0,1,0
"38","Powers Ferry 01",45,2,17,26,0,56,5,26,24,1,45,2,17,26,0,56,5,26,24,1,2257,2830,"Cobb",1,101,101,79.7526501766784,4.47496677004874,3.56890459363958,4.47496677004874,3.56890459363958,44.5544554455446,44.5544554455446,1.99379707576429,1.59010600706714,55.4455445544554,55.4455445544554,2.48116969428445,1.97879858657244,0,1,0
"39","Rocky Mountain 01",700,41,288,369,2,1623,112,535,974,2,700,41,288,369,2,1623,112,535,974,2,2412,2886,"Cobb",1,2323,2323,83.5758835758836,96.3101160862355,80.4920304920305,96.3101160862355,80.4920304920305,30.1334481274214,30.1334481274214,29.0215588723051,24.2550242550243,69.8665518725786,69.8665518725786,67.2885572139303,56.2370062370062,0,1,0
"40","Roswell 01",1186,116,477,593,0,2835,266,780,1788,1,1186,116,477,593,0,2835,266,780,1788,1,4130,4798,"Cobb",1,4021,4021,86.0775323051271,97.3607748184019,83.805752396832,97.3607748184019,83.805752396832,29.4951504600846,29.4951504600846,28.7167070217918,24.7186327636515,70.5048495399154,70.5048495399154,68.6440677966102,59.0871196331805,0,1,0
"41","Roswell 02",728,100,242,386,0,1895,169,493,1230,3,728,100,242,386,0,1895,169,493,1230,3,2729,3219,"Cobb",1,2623,2623,84.7778813296055,96.1157933308904,81.4849332090711,96.1157933308904,81.4849332090711,27.7544796035074,27.7544796035074,26.6764382557713,22.6157191674433,72.2455203964926,72.2455203964926,69.4393550751191,58.8692140416278,0,1,0
"42","Sandy Plains 01",707,51,266,390,0,1274,109,403,759,3,707,51,266,390,0,1274,109,403,759,3,2063,2476,"Cobb",1,1981,1981,83.3198707592892,96.0252060106641,80.0080775444265,96.0252060106641,80.0080775444265,35.6890459363958,35.6890459363958,34.2704798836646,28.5541195476575,64.3109540636042,64.3109540636042,61.7547261269995,51.453957996769,0,1,0
"43","Sewell Mill 01",762,69,262,430,1,1558,138,438,981,1,762,69,262,430,1,1558,138,438,981,1,2425,2923,"Cobb",1,2320,2320,82.962709544988,95.6701030927835,79.3705097502566,95.6701030927835,79.3705097502566,32.8448275862069,32.8448275862069,31.4226804123711,26.0691070817653,67.1551724137931,67.1551724137931,64.2474226804124,53.3014026684913,0,1,0
"44","Sewell Mill 03",1216,72,490,651,3,1475,159,481,833,2,1216,72,490,651,3,1475,159,481,833,2,2804,3761,"Cobb",1,2691,2691,74.5546397234778,95.9700427960057,71.5501196490295,95.9700427960057,71.5501196490295,45.1876625789669,45.1876625789669,43.3666191155492,32.3318266418506,54.8123374210331,54.8123374210331,52.6034236804565,39.2182930071789,0,1,0
"45","Shallowford Fall 01",711,62,300,349,0,1698,152,532,1014,0,711,62,300,349,0,1698,152,532,1014,0,2504,2942,"Cobb",1,2409,2409,85.112168592794,96.2060702875399,81.8830727396329,96.2060702875399,81.8830727396329,29.5143212951432,29.5143212951432,28.3945686900958,24.1672331747111,70.4856787048568,70.4856787048568,67.8115015974441,57.7158395649218,0,1,0
